,title,abstract,published date,doi
10,Coloring Molecules with Explainable Artificial Intelligence for Preclinical Relevance Assessment,"Graph neural networks are able to solve certain drug discovery tasks such as molecular property prediction and de novo molecule generation. However, these models are considered 'black-box' and 'hard-to-debug'. This study aimed to improve modeling transparency for rational molecular design by applying the integrated gradients explainable artificial intelligence (XAI) approach for graph neural network models. Models were trained for predicting plasma protein binding, cardiac potassium channel inhibition, passive permeability, and cytochrome P450 inhibition. The proposed methodology highlighted molecular features and structural elements that are in agreement with known pharmacophore motifs, correctly identified property cliffs, and provided insights into unspecific ligand-target interactions. The developed XAI approach is fully open-sourced and can be used by practitioners to train new models on other clinically-relevant endpoints.",2020-11-19T12:20:52.000Z,10.26434/chemrxiv.13252286.v1
11,Chemically Interpretable Graph Interaction Network for Prediction of Pharmacokinetic Properties of Drug-like Molecules,"<div>Solubility of drug molecules is related to pharmacokinetic properties such as absorption and distribution, which affects the amount of drug that is available in the body for its action. Computational or experimental evaluation of solvation free energies of drug-like molecules/solute that quantify solubilities is an arduous task and hence development of reliable computationally tractable models is sought after in drug discovery tasks in pharmaceutical industry. Here, we report a novel method based on graph neural network to predict solvation free energies. Previous studies considered only the solute for solvation free energy prediction and ignored the nature of the solvent, limiting their practical applicability. The proposed model is an end-to-end framework comprising three phases namely, message passing, interaction and prediction phases. In the first phase, message passing neural network was used to compute inter-atomic interaction within both solute and solvent molecules represented as molecular graphs. In the interaction phase, features from the preceding step is used to calculate a solute-solvent interaction map, since the solvation free energy depends on how (un)favorable the solute and solvent molecules interact with each other. The calculated interaction map that captures the solute-solvent interactions along with the features from the message passing phase is used to predict the solvation free energies in the final phase. The model predicts solvation free energies involving a large number of solvents within the limits of chemical accuracy. We also show that the interaction map captures the electronic and steric factors that govern the solubility of drug-like molecules and hence is chemically interpretable.</div>",2019-12-10T21:44:19.000Z,10.26434/chemrxiv.10282346.v2
12,Interpreting Graph Neural Networks with Myerson Values for Cheminformatics Approaches,"Here we introduce a novel method to interpret the predictions of graph neural networks (GNNs) based on Myerson values from cooperative game theory. Myerson values are closely related to Shapley values and thus provide an interpretability approach similar to the SHAP values. We developed the technique for applications in drug discovery, but it can be used with any graph. Using the GNN as a coalition game and the interpreted graph as the cooperation structure, the Myerson values determine the worth of each node of the graph. The worth of all nodes of the graph adds up to the predicted value of the model, allowing for a simple and intuitive interpretation of the prediction. To interpret predictions on molecular graphs we show visual explanations on molecular structures using two molecular datasets.",2023-05-08T11:50:56.498Z,10.26434/chemrxiv-2023-1hxxc
13,Interpretable Molecular Property Predictions Using Marginalized Graph Kernels,"Marginalized graph kernels have shown competitive performance in molecular machine learning tasks but currently lack measures of interpretability, which are important to improve trust in the models, detect biases, and inform molecular optimization campaigns. We here conceive and implement two interpretability measures for Gaussian process regression using a marginalized graph kernel (GPR-MGK) to quantify (1) the contribution of specific training data to the prediction and (2) the contribution of specific nodes of the graph to the prediction. We demonstrate the applicability of these interpretability measures for molecular property prediction. We compare GPR-MGK to graph neural networks on four logic datasets and find that the atomic attribution of GPR-MGK generally outperforms the atomic attribution of graph neural networks. We also perform a detailed molecular attribution analysis using the FreeSolv dataset, showing how molecules in the training set influence machine learning predictions and why Morgan fingerprints perform poorly on this dataset. This is the first systematic examination of the interpretability of GPR-MGK and thereby an important step in the further maturation of marginalized graph kernel methods for interpretable molecular predictions. ",2023-02-20T10:22:19.723Z,10.26434/chemrxiv-2023-gd1gl
14,Explainable Graph Neural Networks for Organic Cages,"The development of accurate and explicable machine learning models to predict the properties of topologically complex systems is a challenge in material science. Porous organic cages, a class of polycyclic molecular materials, have potential application in molecular separations, catalysis and encapsulation. For most applications of porous organic cages, having a permanent internal cavity in the absence of solvent, a property termed “shape persistency” is critical. Here, we report the development of Graph Neural Networks (GNNs) to predict the shape persistence of organic cages. Graph neural networks are a class of neural networks where the data, in our case that of organic cages, are represented by graphs. The performance of the GNN models was measured against a previously reported computational database of organic cages formed through a range of [4+6] reactions with a variety of reaction chemistries. The reported GNNs have an improved prediction accuracy and transferability compared to random forest predictions. Apart from the improvement in predictive power, we explored the explicability of the GNNs by computing the integrated gradient of the GNN input. The contribution of monomers and molecular fragments to the shape persistence of the organic cages could be quantitatively evaluated with integrated gradient. With the added explicability of the GNNs, it is possible not only to accurately predict the property of organic materials, but also to interpret the predictions of the deep learning models and provide structural insights to the discovery of future materials. ",2021-11-18T13:31:15.651Z,10.26434/chemrxiv-2021-zhcb1
15,A Graph Neural Network for Predicting Energy and Stability of Known and Hypothetical Crystal Structures,"The discovery of new inorganic materials in unexplored chemical spaces necessitates calculating total energy quickly and with sufficient accuracy. Machine learning models that provide such a capability for both ground-state (GS) and higher-energy structures would be instrumental in accelerating the screening for new materials over vast chemical spaces. Here, we develop a unique graph neural network model to accurately predict the total energy of both GS and higher-energy hypothetical structures. We use ~16,500 density functional theory calculated total energy from the NREL Materials Database and ~11,000 in-house generated hypothetical structures to train our model, thus making sure that the model is not biased towards either GS or higher-energy structures. We also demonstrate that our model satisfactorily ranks the structures in the correct order of their energies for a given composition. Furthermore, we present a thorough error analysis to explain several failure modes of the model, which highlights both prediction outliers and occasional inconsistencies in the training data. By peeling back layers of the neural network model, we are able to derive chemical trends by analyzing how the model represents learned structures and properties.",2021-04-16T12:50:45.000Z,10.26434/chemrxiv.14428865.v1
16,Comparative Analysis of Conventional Machine Learning and Graph Neural Network Models for Perovskite Property Prediction,"Perovskite materials, renowned for their versatility and remarkable properties, pose challenges in discovering optimal candidates due to the vast compositional space. Data-driven machine learning (ML) offers promise in expediting material discovery; however, the trade-off between accuracy and efficiency across different ML models for predicting perovskite properties is not well understood. In this study, we conducted a comprehensive assessment of various ML models for predicting the formation energy (Ef) and bandgap (Eg) of perovskites. We designed a protocol to extract perovskite structures from three databases based on the stoichiometry, octahedral lattice motif, and alignment with established perovskite prototype structures. Benchmarking conventional ML algorithms (CML) against graph neural network (GNN) models across three datasets, we identified the GATGNN model as the top performer, balancing exceptional prediction accuracy and computational efficiency. We further investigated the impact of data size on model performance, emphasizing the need for over 1000 data points for optimal prediction accuracy. Additionally, through SHAP analysis, we provided valuable insights into the interpretation of CML models in predicting Ef and Eg. Our study establishes a standardized benchmark for evaluating various ML models across diverse datasets of perovskite materials, facilitating future applications in materials science, particularly in model selection and the advancement of perovskite materials.",2024-05-13T08:44:40.570Z,10.26434/chemrxiv-2024-bd1x5
17,Predicting Surface Strain Effects on Adsorption Energy with Graph Neural Networks,"Modifying the adsorption energies of reaction intermediates on different material surfaces can significantly improve heterogeneous catalysis by reducing energy barriers for intermediate elementary reaction steps. Surface strain can increase or decrease the adsorption energy depending on the surface composition, adsorbate composition, surface facet, and adsorbate site, breaking traditional scaling relationships which inhibit energy barrier alteration in reactions such as ammonia synthesis. We aim to generate a model that maps the adsorption energy response to a given input strain for a range of adsorbates and catalyst structures. After generating a training dataset of strained copper binary alloy catalyst + adsorbate complexes from the Open Catalyst Project and calculating the adsorption energy with first-principles calculations (dataset made available), we train a graph neural network to learn the relationship between catalyst + adsorbate structure, surface strain, and adsorption energy. The model successfully predicts the nature of the adsorption energy response for 85% of surface strains, outperforming simpler model baselines. Using the ammonia synthesis reaction as an example system, we identify Cu-S alloy catalysts as promising candidates for strain engineering since the majority of surface strain patterns raise the adsorption energy of the *NH intermediate. We find that the strain response of similar adsorbates on the same surface can greatly vary due to the competition between surface relaxation under strain and relaxation of the coordination environment. Our presented machine learning approach can be applied to additional datasets to identify target strain patterns that can reduce energy barriers in heterogeneous catalysis.",2022-03-21T12:56:57.442Z,10.26434/chemrxiv-2022-kqnpk
18,PregPred: an In-Silico Alternative to Animal Testing for Predicting Developmental Toxicity Potential,"Background: Understanding potential prenatal and development toxicity hazard associated with the use of pharmaceutical and cosmetic products is an important component of women health. This hazard can be estimated from chemical structure of respective agents using Quantitative Structure-Activity Relationship (QSAR) models; however, the development of reliable models is challenging due to the complex nature of this endpoint.   Methods: Aggregating and curating data from the Food and Drug Administration (FDA), Teratogen Information System (TERIS) database, and select independent studies, we have created, to the best of our knowledge, the largest publicly available dataset comprising compounds annotated as developmental toxicants or not toxicants. Results: We built several binary classification QSAR models exhibiting a correct classification rate of 62-72%, a sensitivity of 66-75%, a specificity of 59-82%, and high coverage of 70-90% assessed using five-fold external validation protocol. We developed a publicly accessible web portal PregPred for developmental toxicity prediction of both overall toxicity and trimester-specific toxicity predictions.   Conclusions: Due to high accuracy and coverage as well as public accessibility of the respective web portal, our models can be employed as a computational tool to support regulatory assessment of pharmaceutical and cosmetic products in alignment with the 3Rs (refining, reducing, and replacing) of animal testing. This in silico model holds the potential to substantially influence the field of developmental toxicology, steering regulatory practices toward safer drug development for pregnant women. The first-of-its-kind curated dataset of developmental toxicants and all developed models implemented as a user-friendly web tool, PregPred, are freely available at https://pregpred.mml.unc.edu/).  ",2024-04-04T10:04:32.571Z,10.26434/chemrxiv-2024-b0m7w
19,BonDNet: A Graph Neural Network for the Prediction of Bond Dissociation Energies for Charged Molecules,"<div><div><div><p>A broad collection of technologies, including e.g. drug metabolism, biofuel combustion, photochemical decontamination of water, and interfacial passivation in energy production/storage systems rely on chemical processes that involve bond-breaking molecular reactions. In this context, a fundamental thermodynamic property of interest is the bond dissociation energy (BDE) which measures the strength of a chemical bond. Fast and accurate prediction of BDEs for arbitrary molecules would lay the groundwork for data-driven projections of complex reaction cascades and hence a deeper understanding of these critical chemical processes and, ultimately, how to reverse design them. In this paper, we propose a chemically inspired graph neural network machine learning model, BonDNet, for the rapid and accurate prediction of BDEs. BonDNet maps the difference between the molecular representations of the reactants and products to the reaction BDE. Because of the use of this difference representation and the introduction of global features, including molecular charge, it is the first machine learning model capable of predicting both homolytic and heterolytic BDEs for molecules of any charge. To test the model, we have constructed a dataset of both homolytic and heterolytic BDEs for neutral and charged (1 and +1) molecules. BonDNet achieves a mean absolute error (MAE) of 0.022 eV for unseen test data, significantly below chemical accuracy (0.043 eV). Besides the ability to handle complex bond dissociation reactions that no previous model could con- sider, BonDNet distinguishes itself even in only predicting homolytic BDEs for neutral molecules; it achieves an MAE of 0.020 eV on the PubChem BDE dataset, a 20% improvement over the previous best performing model. We gain additional insight into the model’s predictions by analyzing the patterns in the features representing the molecules and the bond dissociation reactions, which are qualitatively consistent with chemical rules and intuition. BonDNet is just one application of our general approach to representing and learning chemical reactivity, and it could be easily extended to the prediction of other reaction properties in the future.</p></div></div></div>",2020-09-23T06:31:23.000Z,10.26434/chemrxiv.12980774.v2
20,SLI-GNN: A Self-Learning-Input Graph Neural Network for Predicting Crystal and Molecular Properties,"Since the structures of crystals/molecules are often non-Euclidean data in real space, graph neural networks (GNNs) are regarded as the most prospective approach for their capacity of representing materials by graph-based inputs and emerged as an efficient and powerful tool in accelerating the discovery of new materials. Here, we proposed a self-learning-input GNN framework, named SLI-GNN, to uniformly predict the properties for both crystals and molecules, in which, for the first time, we design a dynamic embedding layer to self-update the input features along with the iteration of the neural network and introduce the Infomax mechanism to maximize the average mutual information between the local features and the global features. It is found that our SLI-GNN can reach ideal prediction accuracy with less inputs and more MPNN layers. The model evaluation on the Materials Project Dataset and QM9 dataset verify that the overall performance of our GNN is comparable to that of other previously reported GNNs. Thus, our GNN framework presents excellent performance in material property prediction, thereby being promising for accelerating the discovery of new materials.",2023-03-17T11:23:28.162Z,10.26434/chemrxiv-2023-wl8rn
21,Rapid Prediction of Conformationally-Dependent DFT-Level Descriptors using Graph Neural Networks for Carboxylic Acids and Alkyl Amines,"Data-driven reaction discovery and development is a growing field that relies on the use of molecular descriptors to capture key information about substrates, ligands, and targets. Broad adaptation of this strategy is hindered by the associated computational cost of descriptor calculation, especially when considering conformational flexibility. Descriptor libraries can be pre-computed agnostic of application to reduce the computational burden of data-driven reaction development. However, as one often applies these models to evaluate novel hypothetical structures, it would be ideal to predict the descriptors of compounds on-the-fly. Herein, we report DFT-level descriptor libraries for conformational ensembles of 8528 carboxylic acids and 8172 alkyl amines towards this goal. Employing 2D and 3D graph neural network architectures trained on these libraries culminated in the development of predictive models for molecule-level descriptors, as well as the bond- and atom-level descriptors for the conserved reactive site (carboxylic acid or amine). The predictions were confirmed to be robust for an external validation set of medicinally-relevant carboxylic acids and alkyl amines. Additionally, a retrospective study correlating the rate of amide coupling reactions demonstrated the suitability of the predicted DFT-level descriptors for downstream applications. Ultimately, these models enable high-fidelity predictions for a vast number of potential substrates, greatly increasing accessibility to the field of data-driven reaction development.",2024-02-23T11:15:22.334Z,10.26434/chemrxiv-2024-m5bpn
22,Molecular set representation learning,"Computational representation of molecules can take many forms, including graphs, string-encodings of graphs, binary vectors, or learned embeddings in the form of real-valued vectors. These representations are then used in downstream classification and regression tasks using a wide range of machine-learning models. However, existing models come with limitations, such as the requirement for clearly defined chemical bonds, which often do not represent the true underlying nature of a molecule. Here, we propose a framework for molecular machine learning tasks based on set representation learning. We show that learning on sets of atomic invariants alone reaches the performance of state-of-the-art graph-based models on the most-used chemical benchmark data sets and that introducing a set representation layer into graph neural networks can surpass the performance of established methods in the domains of chemistry, biology, and material science. We introduce specialised set representation-based neural network architectures for reaction yield and protein-ligand binding affinity prediction. Overall, we show that the technique we denote molecular set representation learning is both an alternative and an extension to graph neural network architectures for machine learning tasks on molecules, molecule complexes, and chemical reactions.",2024-03-15T06:27:47.920Z,10.26434/chemrxiv-2023-fk7kf-v2
23,Predicting Critical Micelle Concentrations for Surfactants using Graph Convolutional Neural Networks,"Surfactants are amphiphilic molecules that are widely used in consumer products, industrial processes, and biological applications. A critical property of a surfactant is the critical micelle concentration (CMC), which is the concentration at which surfactant molecules undergo cooperative self-assembly in solution. Notably, the primary method to obtain CMCs experimentally—tensiometry—is laborious and expensive. In this work, we show that graph convolutional neural networks (GCNs) can predict CMCs directly from the surfactant molecular structure. Specifically, we developed a GCN architecture that encodes the surfactant structure in the form of a molecular graph and trained it using experimental CMC data. We found that the GCN can predict CMCs with higher accuracy than previously proposed methods and that it can generalize to anionic, cationic, zwitterionic, and nonionic surfactants. Molecular saliency maps revealed how atom types and surfactant molecular substructures contribute to CMCs and found this to be in agreement with physical rules that correlate constitutional and topological information to CMCs. Following such rules, we proposed a small set of new surfactants for which experimental CMCs are not available; for these molecules, CMCs predicted with our GCN exhibited similar trends to those obtained from molecular simulations. These results provide evidence that GCNs can enable high-throughput screening of surfactants with desired self-assembly characteristics.",2021-04-09T06:41:24.000Z,10.26434/chemrxiv.14384693.v2
24,QupKake: Integrating Machine Learning and Quantum Chemistry for micro-pKa Predictions,"Accurate prediction of micro-pKa values is crucial for understanding and modulating the acidity and basicity of organic molecules, with applications in drug discovery, materials science, and environmental chemistry. This work introduces QupKake, a novel workflow that combines graph neural network (GNN) models with semiempirical quantum mechanical (QM) features to achieve exceptional accu- racy and generalization in micro-pKa prediction. QupKake outperforms state-of-the-art models on a variety of benchmark datasets, with root mean square errors (RMSEs) between 0.5-0.8 pKa units on five external test sets. Feature importance analysis reveals the crucial role of QM features in both the reaction site enumeration and micro-pKa prediction models. QupKake represents a significant advancement in micro-pKa prediction, offering a powerful tool for various applications in chemistry and beyond.",2023-12-05T04:43:15.558Z,10.26434/chemrxiv-2023-gxplb
25,"CoeffNet: Predicting activation barriers through a chemically-interpretable, equivariant and physically constrained graph neural network","Activation barriers of elementary reactions are essential to predict molecular reaction mechanisms and kinetics. However, computing these energy barriers by identifying transition states with electronic structure methods (e.g., density functional theory) can be time-consuming and computationally expensive. In this work, we introduce CoeffNet, an equivariant graph neural network that predicts activation barriers using coeﬀicients of a frontier molecular orbital (such as the highest occupied molecular orbital) of reactant and product complexes as graph node features. We show that using coeﬀicients as features offer several advantages, such as chemical interpretability and physical constraints on the network’s behaviour and numerical range. Model outputs are either activation barriers or coeﬀicients of the chosen molecular orbital of the transition state; the latter quantity allows us to interpret the results of the neural network through chemical intuition. We test CoeffNet on a dataset of SN2 reactions as a proof-of-concept and show that the activation barriers are predicted with a mean absolute error of less than 0.025 eV. The highest occupied molecular orbital of the transition state is visualized and the distribution of the orbital densities of the transition states is described for a few prototype SN2 reactions.",2023-08-21T12:55:15.715Z,10.26434/chemrxiv-2023-0hndv
